Dia de Dt;Point Order;Polygon Id;Score;dia_mes_ano;Dt;State_City;Lat;Lng
14/05/2020;1;888199968dfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,741927236;-35,22868417
14/05/2020;2;888199968dfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,73853691;-35,22470913
14/05/2020;3;888199968dfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,73340027;-35,22564419
14/05/2020;4;888199968dfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,731653859;-35,23055425
14/05/2020;5;888199968dfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,735044146;-35,23452937
14/05/2020;6;888199968dfffff;46,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,740180885;-35,23359434
14/05/2020;1;888199968bfffff;44,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,736687944;-35,24341492
14/05/2020;2;888199968bfffff;44,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,733297646;-35,2394396
14/05/2020;3;888199968bfffff;44,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,728160797;-35,2403746
14/05/2020;4;888199968bfffff;44,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,726414148;-35,24528489
14/05/2020;5;888199968bfffff;44,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,729804406;-35,24926029
14/05/2020;6;888199968bfffff;44,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,734941354;-35,24832532
14/05/2020;1;888199965dfffff;44,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,801918836;-35,2085775
14/05/2020;2;888199965dfffff;44,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,798528167;-35,20460255
14/05/2020;3;888199965dfffff;44,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,793392116;-35,20553775
14/05/2020;4;888199965dfffff;44,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,791646634;-35,21044787
14/05/2020;5;888199965dfffff;44,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,795037264;-35,21442289
14/05/2020;6;888199965dfffff;44,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,800173415;-35,21348772
14/05/2020;1;888199965bfffff;42,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,796682332;-35,22330841
14/05/2020;2;888199965bfffff;42,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,793291693;-35,21933318
14/05/2020;3;888199965bfffff;42,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,788155431;-35,22026832
14/05/2020;4;888199965bfffff;42,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,786409709;-35,22517866
14/05/2020;5;888199965bfffff;42,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,78980031;-35,22915398
14/05/2020;6;888199965bfffff;42,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,794936671;-35,22821886
14/05/2020;1;888199964bfffff;43,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,808800145;-35,20273213
