,city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
4736,Caicó,2402006.0,2020-04-02,14,67952.0,False,False,1,1.47163,2020-04-02,0.0,0,6,city,RN,1,0
4737,Carnaubais,2402501.0,2020-04-02,14,10759.0,False,False,1,9.29454,2020-04-02,0.0,0,4,city,RN,0,0
4738,Ceará-Mirim,2402600.0,2020-04-02,14,73497.0,False,False,2,2.7212,2020-04-02,0.0,0,2,city,RN,1,0
4740,Luís Gomes,2407005.0,2020-04-02,14,10116.0,False,False,1,9.88533,2020-04-02,0.0,0,4,city,RN,0,0
4741,Macaíba,2407104.0,2020-04-02,14,80792.0,False,False,1,1.23775,2020-04-02,0.0,0,6,city,RN,0,0
4742,Monte Alegre,2407807.0,2020-04-02,14,22451.0,False,False,1,4.45414,2020-04-02,0.0,0,6,city,RN,0,0
4743,Mossoró,2408003.0,2020-04-02,14,297378.0,False,False,21,7.061719999999999,2020-04-02,0.0476,1,13,city,RN,1,0
4744,Natal,2408102.0,2020-04-02,14,884122.0,False,False,56,6.33397,2020-04-02,0.0179,1,22,city,RN,8,0
4745,Parnamirim,2403251.0,2020-04-02,14,261469.0,False,False,13,4.97191,2020-04-02,0.0,0,14,city,RN,2,0
4746,Passa e Fica,2409100.0,2020-04-02,14,13277.0,False,False,1,7.53182,2020-04-02,0.0,0,6,city,RN,0,0
4747,São Gonçalo do Amarante,2412005.0,2020-04-02,14,102400.0,False,False,1,0.97656,2020-04-02,0.0,0,6,city,RN,0,0
4748,São José de Mipibu,2412203.0,2020-04-02,14,43899.0,False,False,1,2.2779599999999998,2020-04-02,0.0,0,6,city,RN,0,0
4749,Tibau,2411056.0,2020-04-02,14,4106.0,False,False,1,24.3546,2020-04-02,0.0,0,6,city,RN,0,0
5304,Apodi,2401008.0,2020-04-03,14,35845.0,False,False,1,2.78979,2020-04-03,0.0,0,5,city,RN,0,0
5305,Açu,2400208.0,2020-04-03,14,58017.0,False,False,6,10.3418,2020-04-03,0.0,0,7,city,RN,5,0
5306,Baía Formosa,2401404.0,2020-04-03,14,9271.0,False,False,1,10.78632,2020-04-03,0.0,0,1,city,RN,1,0
5308,Caraúbas,2402303.0,2020-04-03,14,20493.0,False,False,1,4.87972,2020-04-03,0.0,0,1,city,RN,1,0
5309,Carnaubais,2402501.0,2020-04-03,14,10759.0,False,False,1,9.29454,2020-04-03,0.0,0,5,city,RN,0,0
5310,Ceará-Mirim,2402600.0,2020-04-03,14,73497.0,False,False,3,4.0818,2020-04-03,0.0,0,3,city,RN,1,0
5311,Extremoz,2403608.0,2020-04-03,14,28583.0,False,False,5,17.49292,2020-04-03,0.0,0,1,city,RN,5,0
5313,Luís Gomes,2407005.0,2020-04-03,14,10116.0,False,False,1,9.88533,2020-04-03,0.0,0,5,city,RN,0,0
5314,Macaíba,2407104.0,2020-04-03,14,80792.0,False,False,1,1.23775,2020-04-03,0.0,0,7,city,RN,0,0
5315,Monte Alegre,2407807.0,2020-04-03,14,22451.0,False,False,1,4.45414,2020-04-03,0.0,0,7,city,RN,0,0
5316,Mossoró,2408003.0,2020-04-03,14,297378.0,False,False,43,14.459710000000001,2020-04-03,0.0698,3,14,city,RN,22,2
5317,Natal,2408102.0,2020-04-03,14,884122.0,False,False,77,8.70921,2020-04-03,0.013000000000000001,1,23,city,RN,21,0
5318,Parnamirim,2403251.0,2020-04-03,14,261469.0,False,False,17,6.50173,2020-04-03,0.0,0,15,city,RN,4,0
5319,Passa e Fica,2409100.0,2020-04-03,14,13277.0,False,False,1,7.53182,2020-04-03,0.0,0,7,city,RN,0,0
5320,Santo Antônio,2411502.0,2020-04-03,14,24136.0,False,False,1,4.14319,2020-04-03,0.0,0,1,city,RN,1,0
5321,São Gonçalo do Amarante,2412005.0,2020-04-03,14,102400.0,False,False,9,8.789060000000001,2020-04-03,0.0,0,7,city,RN,8,0
5322,São José de Mipibu,2412203.0,2020-04-03,14,43899.0,False,False,1,2.2779599999999998,2020-04-03,0.0,0,7,city,RN,0,0
5323,Tibau,2411056.0,2020-04-03,14,4106.0,False,False,1,24.3546,2020-04-03,0.0,0,7,city,RN,0,0
5914,Apodi,2401008.0,2020-04-04,14,35845.0,False,True,1,2.78979,2020-04-03,0.0,0,6,city,RN,0,0
5915,Açu,2400208.0,2020-04-04,14,58017.0,False,True,6,10.3418,2020-04-03,0.0,0,8,city,RN,0,0
5916,Baía Formosa,2401404.0,2020-04-04,14,9271.0,False,True,1,10.78632,2020-04-03,0.0,0,2,city,RN,0,0
5918,Caraúbas,2402303.0,2020-04-04,14,20493.0,False,True,1,4.87972,2020-04-03,0.0,0,2,city,RN,0,0
5919,Carnaubais,2402501.0,2020-04-04,14,10759.0,False,True,1,9.29454,2020-04-03,0.0,0,6,city,RN,0,0
5920,Ceará-Mirim,2402600.0,2020-04-04,14,73497.0,False,True,3,4.0818,2020-04-03,0.0,0,4,city,RN,0,0
5921,Extremoz,2403608.0,2020-04-04,14,28583.0,False,True,5,17.49292,2020-04-03,0.0,0,2,city,RN,0,0
5923,Luís Gomes,2407005.0,2020-04-04,14,10116.0,False,True,1,9.88533,2020-04-03,0.0,0,6,city,RN,0,0
5924,Macaíba,2407104.0,2020-04-04,14,80792.0,False,True,1,1.23775,2020-04-03,0.0,0,8,city,RN,0,0
5925,Monte Alegre,2407807.0,2020-04-04,14,22451.0,False,True,1,4.45414,2020-04-03,0.0,0,8,city,RN,0,0
5926,Mossoró,2408003.0,2020-04-04,14,297378.0,False,True,43,14.459710000000001,2020-04-03,0.0698,3,15,city,RN,0,0
5927,Natal,2408102.0,2020-04-04,14,884122.0,False,True,77,8.70921,2020-04-03,0.013000000000000001,1,24,city,RN,0,0
5928,Parnamirim,2403251.0,2020-04-04,14,261469.0,False,True,17,6.50173,2020-04-03,0.0,0,16,city,RN,0,0
5929,Passa e Fica,2409100.0,2020-04-04,14,13277.0,False,True,1,7.53182,2020-04-03,0.0,0,8,city,RN,0,0
5930,Santo Antônio,2411502.0,2020-04-04,14,24136.0,False,True,1,4.14319,2020-04-03,0.0,0,2,city,RN,0,0
5931,São Gonçalo do Amarante,2412005.0,2020-04-04,14,102400.0,False,True,9,8.789060000000001,2020-04-03,0.0,0,8,city,RN,0,0
5932,São José de Mipibu,2412203.0,2020-04-04,14,43899.0,False,True,1,2.2779599999999998,2020-04-03,0.0,0,8,city,RN,0,0
5933,Tibau,2411056.0,2020-04-04,14,4106.0,False,True,1,24.3546,2020-04-03,0.0,0,8,city,RN,0,0
6569,Apodi,2401008.0,2020-04-05,15,35845.0,False,False,1,2.78979,2020-04-05,0.0,0,7,city,RN,0,0
6570,Areia Branca,2401107.0,2020-04-05,15,27774.0,False,False,1,3.60049,2020-04-05,0.0,0,1,city,RN,1,0
6571,Açu,2400208.0,2020-04-05,15,58017.0,False,False,8,13.789060000000001,2020-04-05,0.0,0,9,city,RN,2,0
6572,Baía Formosa,2401404.0,2020-04-05,15,9271.0,False,False,1,10.78632,2020-04-05,0.0,0,3,city,RN,0,0
6574,Caraúbas,2402303.0,2020-04-05,15,20493.0,False,False,1,4.87972,2020-04-05,0.0,0,3,city,RN,0,0
6575,Carnaubais,2402501.0,2020-04-05,15,10759.0,False,False,1,9.29454,2020-04-05,0.0,0,7,city,RN,0,0
6576,Ceará-Mirim,2402600.0,2020-04-05,15,73497.0,False,False,3,4.0818,2020-04-05,0.0,0,5,city,RN,0,0
6577,Extremoz,2403608.0,2020-04-05,15,28583.0,False,False,5,17.49292,2020-04-05,0.0,0,3,city,RN,0,0
6579,Luís Gomes,2407005.0,2020-04-05,15,10116.0,False,False,1,9.88533,2020-04-05,0.0,0,7,city,RN,0,0
6580,Macaíba,2407104.0,2020-04-05,15,80792.0,False,False,2,2.47549,2020-04-05,0.0,0,9,city,RN,1,0
6581,Monte Alegre,2407807.0,2020-04-05,15,22451.0,False,False,1,4.45414,2020-04-05,0.0,0,9,city,RN,0,0
6582,Mossoró,2408003.0,2020-04-05,15,297378.0,False,False,59,19.84007,2020-04-05,0.0508,3,16,city,RN,16,0
6583,Natal,2408102.0,2020-04-05,15,884122.0,False,False,113,12.781039999999999,2020-04-05,0.0177,2,25,city,RN,36,1
6584,Parnamirim,2403251.0,2020-04-05,15,261469.0,False,False,27,10.32627,2020-04-05,0.0,0,17,city,RN,10,0
6585,Passa e Fica,2409100.0,2020-04-05,15,13277.0,False,False,1,7.53182,2020-04-05,0.0,0,9,city,RN,0,0
6586,Santo Antônio,2411502.0,2020-04-05,15,24136.0,False,False,1,4.14319,2020-04-05,0.0,0,3,city,RN,0,0
6587,São Gonçalo do Amarante,2412005.0,2020-04-05,15,102400.0,False,False,10,9.76562,2020-04-05,0.0,0,9,city,RN,1,0
6588,São José de Mipibu,2412203.0,2020-04-05,15,43899.0,False,False,1,2.2779599999999998,2020-04-05,0.0,0,9,city,RN,0,0
6589,São Pedro,2412708.0,2020-04-05,15,5971.0,False,False,1,16.74761,2020-04-05,0.0,0,1,city,RN,1,0
6590,Taipu,2413904.0,2020-04-05,15,12279.0,False,False,1,8.143989999999999,2020-04-05,1.0,1,1,city,RN,1,1
6591,Tenente Ananias,2414100.0,2020-04-05,15,10786.0,False,False,1,9.27128,2020-04-05,1.0,1,1,city,RN,1,1
6592,Tibau,2411056.0,2020-04-05,15,4106.0,False,False,1,24.3546,2020-04-05,0.0,0,9,city,RN,0,0
7281,Apodi,2401008.0,2020-04-06,15,35845.0,False,True,1,2.78979,2020-04-05,0.0,0,8,city,RN,0,0
7282,Areia Branca,2401107.0,2020-04-06,15,27774.0,False,True,1,3.60049,2020-04-05,0.0,0,2,city,RN,0,0
7283,Açu,2400208.0,2020-04-06,15,58017.0,False,True,8,13.789060000000001,2020-04-05,0.0,0,10,city,RN,0,0
7284,Baía Formosa,2401404.0,2020-04-06,15,9271.0,False,True,1,10.78632,2020-04-05,0.0,0,4,city,RN,0,0
7286,Caraúbas,2402303.0,2020-04-06,15,20493.0,False,True,1,4.87972,2020-04-05,0.0,0,4,city,RN,0,0
7287,Carnaubais,2402501.0,2020-04-06,15,10759.0,False,True,1,9.29454,2020-04-05,0.0,0,8,city,RN,0,0
7288,Ceará-Mirim,2402600.0,2020-04-06,15,73497.0,False,True,3,4.0818,2020-04-05,0.0,0,6,city,RN,0,0
7289,Extremoz,2403608.0,2020-04-06,15,28583.0,False,True,5,17.49292,2020-04-05,0.0,0,4,city,RN,0,0
7291,Luís Gomes,2407005.0,2020-04-06,15,10116.0,False,True,1,9.88533,2020-04-05,0.0,0,8,city,RN,0,0
7292,Macaíba,2407104.0,2020-04-06,15,80792.0,False,True,2,2.47549,2020-04-05,0.0,0,10,city,RN,0,0
7293,Monte Alegre,2407807.0,2020-04-06,15,22451.0,False,True,1,4.45414,2020-04-05,0.0,0,10,city,RN,0,0
7294,Mossoró,2408003.0,2020-04-06,15,297378.0,False,True,59,19.84007,2020-04-05,0.0508,3,17,city,RN,0,0
7295,Natal,2408102.0,2020-04-06,15,884122.0,False,True,113,12.781039999999999,2020-04-05,0.0177,2,26,city,RN,0,0
7296,Parnamirim,2403251.0,2020-04-06,15,261469.0,False,True,27,10.32627,2020-04-05,0.0,0,18,city,RN,0,0
7297,Passa e Fica,2409100.0,2020-04-06,15,13277.0,False,True,1,7.53182,2020-04-05,0.0,0,10,city,RN,0,0
7298,Santo Antônio,2411502.0,2020-04-06,15,24136.0,False,True,1,4.14319,2020-04-05,0.0,0,4,city,RN,0,0
7299,São Gonçalo do Amarante,2412005.0,2020-04-06,15,102400.0,False,True,10,9.76562,2020-04-05,0.0,0,10,city,RN,0,0
7300,São José de Mipibu,2412203.0,2020-04-06,15,43899.0,False,True,1,2.2779599999999998,2020-04-05,0.0,0,10,city,RN,0,0
7301,São Pedro,2412708.0,2020-04-06,15,5971.0,False,True,1,16.74761,2020-04-05,0.0,0,2,city,RN,0,0
7302,Taipu,2413904.0,2020-04-06,15,12279.0,False,True,1,8.143989999999999,2020-04-05,1.0,1,2,city,RN,0,0
7303,Tenente Ananias,2414100.0,2020-04-06,15,10786.0,False,True,1,9.27128,2020-04-05,1.0,1,2,city,RN,0,0
7304,Tibau,2411056.0,2020-04-06,15,4106.0,False,True,1,24.3546,2020-04-05,0.0,0,10,city,RN,0,0
8044,Apodi,2401008.0,2020-04-07,15,35845.0,False,False,1,2.78979,2020-04-07,0.0,0,9,city,RN,0,0
8045,Areia Branca,2401107.0,2020-04-07,15,27774.0,False,False,1,3.60049,2020-04-07,0.0,0,3,city,RN,0,0
8046,Açu,2400208.0,2020-04-07,15,58017.0,False,False,8,13.789060000000001,2020-04-07,0.0,0,11,city,RN,0,0
8047,Baía Formosa,2401404.0,2020-04-07,15,9271.0,False,False,1,10.78632,2020-04-07,0.0,0,5,city,RN,0,0
8049,Caraúbas,2402303.0,2020-04-07,15,20493.0,False,False,1,4.87972,2020-04-07,0.0,0,5,city,RN,0,0
8050,Carnaubais,2402501.0,2020-04-07,15,10759.0,False,False,1,9.29454,2020-04-07,0.0,0,9,city,RN,0,0
8051,Ceará-Mirim,2402600.0,2020-04-07,15,73497.0,False,False,3,4.0818,2020-04-07,0.0,0,7,city,RN,0,0
8052,Extremoz,2403608.0,2020-04-07,15,28583.0,False,False,5,17.49292,2020-04-07,0.0,0,5,city,RN,0,0
